Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CPIA efficiency of revenue mobilization rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPIA business regulatory environment rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment in transport with private participation (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Time required to start a business, male (days)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17,17,17,17,17,14,14,9,8,8,8,8,8,8,8,8,
Firms offering formal training (% of firms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,,,,,,,,,,,
"Time to export, documentary compliance (hours)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,
Ease of doing business score (0 = lowest performance to 100 = best performance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.08952,83.96555,83.96525,83.96046,84.00083,
Other expense (current LCU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54E+11,5.29E+11,6.68E+11,8.65E+11,1.252E+12,1.77E+12,2.59E+12,2.132E+12,1.33073E+13,1.3917E+13,1.51217E+13,1.75815E+13,1.86812E+13,2.96961E+13,3.51421E+13,3.60206E+13,3.71362E+13,2.77451E+13,3.24792E+13,3.99457E+13,3.45309E+13,3.67617E+13,4.75921E+13,3.09462E+13,3.06992E+13,3.01736E+13,3.13957E+13,3.55525E+13,3.552E+13,3.49241E+13,
Taxes on international trade (current LCU),,,,,,,,,,,,,59000000000,82000000000,1.27E+11,2.02E+11,3.44E+11,4.75E+11,7.75E+11,9.13E+11,1.014E+12,1.189E+12,1.317E+12,1.799E+12,1.921E+12,1.95E+12,2.349E+12,3.205E+12,3.168E+12,2.772E+12,3.685E+12,3.294E+12,3.128E+12,2.884E+12,3.453E+12,4.633E+12,5.309E+12,5.798E+12,3.83599E+12,4.6873E+12,5.79972E+12,5.92338E+12,6.60129E+12,6.84734E+12,6.79649E+12,6.3177E+12,6.8584E+12,7.41076E+12,8.77569E+12,9.16913E+12,1.06663E+13,1.09901E+13,9.60926E+12,1.08385E+13,8.70454E+12,8.5163E+12,8.15589E+12,8.61589E+12,8.34965E+12,7.70096E+12,
Net investment in nonfinancial assets (% of GDP),,,,,,,,,,,,,1.921409659,1.139797008,0.961416825,1.223491028,1.195345752,1.338126945,1.335745095,1.259169874,1.268719273,1.173751455,1.553591939,1.346942792,1.291491552,1.030299661,1.156470115,1.144638605,0.878114069,0.953548152,0.824706491,1.150192737,0.93571828,0.870927304,0.907130167,0.930229791,1.275540088,1.29667466,1.34387684,1.889890659,1.222483037,1.226370408,1.02284154,1.223711165,2.032949371,1.049770024,0.909167299,1.56261374,1.59147361,1.046475054,1.001155517,0.934239791,1.711346775,1.705295462,1.682701879,1.672437228,1.511737725,,,,
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.84623718,,,94.36621094,,,96.65214539,,,
Broad money (% of GDP),11.30713199,13.66402599,14.11933526,10.68866433,8.602233398,11.67983738,14.72492425,19.3284207,25.85279698,31.84262381,32.10262462,31.55671902,34.01799564,35.83056827,31.07526882,29.87603854,29.05298215,31.56861797,31.51972808,30.48499644,31.55297281,31.55074109,34.74494908,33.69285592,31.43551513,32.41283018,32.85216991,33.09800999,33.52113467,35.36576201,34.25847717,34.53704227,34.68272052,35.60461868,35.75330462,35.22870609,36.32703943,37.55181256,48.12563976,55.67938619,63.38660144,108.1974883,111.1290506,107.2494584,105.0948176,106.6845257,114.2860381,116.8815623,123.5372649,129.9915368,125.5493697,126.1006154,127.4652501,127.9831138,132.9064959,135.5456811,138.2977531,137.841483,142.2596611,151.3958148,165.5242316
"Commercial bank branches (per 100,000 adults)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,17.33,17.82,18.31,18.7,18.19,18.18,18.22,18.31,18.02,17.2,16.75,16.24,15.44,15.27,15.1,14.37
Total fisheries production (metric tons),357201,424517,469452,532347,600283,640099,703557,760237,841067,879545,877349,1068314,1343126,1687013,2024906,2134241,2405696,2423942,2353886,2421583,2409289,2811021,2642283,2791947,2908544,3093940,3660794,3333418,3216014,3327347,3285474,2983447,3304093,3335883,3478501,3359594,3334372,3268157,2837575,2909480,2506252,2677494,2499127,2502112,2542856,2720037,3052166,3288047,3366428,3204179,3112810,3257098,3189134,3138722,3323489,3335467,3231019,3697861,3624756,,
"Fish species, threatened",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,
PFC gas emissions (thousand metric tons of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.6,,,,,,,,,,2164.9,,,,,2453.7,,,2730.1,,1848,,,,,,,,,,
Other greenhouse gas emissions (% change from 1990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.472830495,15.55555556,18.34549878,23.95782644,34.01459854,80.89213301,99.8702352,97.75910787,173.7088856,142.2348418,88.52296837,143.5821573,108.5669062,88.69033414,95.25982644,72.42310884,74.83659043,81.42439254,51.95242985,45.46106245,45.46106245,45.46106245,,,,,,,,
Combustible renewables and waste (% of total energy),,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460624721,0.287297943,0.195201225,0.128048112,0.083410139,0.070846226,0.166134113,0.165773269,0.184830683,0.127578828,0.115797715,0.085663561,0.09364164,0.100617559,0.080718157,0.154225975,0.163880527,0.173250258,0.197871219,0.236957595,0.246190742,0.246548315,0.36996037,0.470651794,0.90933973,0.817774592,,,,,
"Electricity production from oil, gas and coal sources (% of total)",,,,,,,,,,,,87.47628083,88.45341667,91.33895447,88.67834868,91.63518887,92.26110654,94.49354948,86.88670263,84.60674157,85.33526679,86.05715423,86.59153101,76.07369498,73.62659828,64.82493492,49.40136161,38.56545425,48.17711424,44.55093655,43.77105655,47.2005651,52.06826147,56.39668613,62.29074454,61.33300946,62.11643345,63.9905634,56.48010589,54.44277492,60.8045722,62.34258597,62.8297413,60.70584602,62.55714488,60.64830331,61.70905113,65.33053146,64.97423052,66.18748838,68.73014467,68.62108285,70.15020671,72.33714637,69.49562713,67.72439761,,,,,
"Debt service on external debt, total (TDS, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net official flows from UN agencies, UNRWA (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External debt stocks (% of GNI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Netherlands (current US$)",,,,,,,,,,,990000.0095,90000.00358,319999.9928,259999.9905,540000.0215,639999.9857,1120000.005,2190000.057,2319999.933,1399999.976,1279999.971,910000.0262,579999.9833,529999.9714,970000.0286,509999.9905,560000.0024,829999.9833,,,,,,,,319999.9928,150000.006,230000.0042,90000.00358,,29999.99933,119999.9973,90000.00358,100000.0015,100000.0015,,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",,,,9999.999776,9999.999776,9999.999776,,,50000.00075,39999.99911,39999.99911,39999.99911,19999.99955,9999.999776,19999.99955,29999.99933,29999.99933,50000.00075,59999.99866,50000.00075,,9999.999776,29999.99933,19999.99955,19999.99955,29999.99933,,,39999.99911,,29999.99933,,,29999.99933,19999.99955,3740000.01,,,39999.99911,50000.00075,39999.99911,59999.99866,90000.00358,79999.99821,29999.99933,,,,,,,,,,,,,,,,
"Secondary income receipts (BoP, current US$)",,,,,,,,,,,,,,,,,461000000,388000000,574000000,560000000,515100000,597400000,620100000,656200000,634400000,837300000,1310900000,1702700000,2138700000,1760600000,2089600000,2328100000,2472600000,2310900000,2497400000,2922200000,3076700000,3882100000,5305600000,4363800000,4440700000,4476300000,5325000000,5861600000,6162000000,6251600000,6065000000,6609400000,9275400000,7901900000,7049600000,8432200000,8558000000,8778600000,8873900000,8844400000,8742700000,9706700000,9476800000,10428300000,10593200000
"Technical cooperation grants (BoP, current US$)",250000,230000,680000,1290000,1500000,2290000,9880000,11640000,11180000,21060000,13140000,16020000,17090000,16230000,16940000,20480000,21710000,25350000,26780000,30730000,33620000,31910000,30610000,29470000,29590000,33810000,44310000,66580000,71960000,74130000,100440000,94670000,118320000,148970000,115440000,143970000,144760000,104740000,147320000,156280000,118460000,82890000,86940000,94510000,102460000,,,,,,,,,,,,,,,,
"Foreign direct investment, net outflows (% of GDP)",,,,,,,,,,,,0.030292321,0.00920613,0.014412824,0.071632891,0.01836185,0.020065226,0.054621375,0.053875052,0.024492545,0.065597688,0.083638005,0.234817078,0.192455909,0.092810769,0.600022644,1.086215959,0.367898886,0.363744177,0.295431093,0.399904681,0.481236072,0.386948587,0.36761513,0.55867187,0.682776766,0.811790746,0.77424569,1.100954726,0.797406844,0.840382493,0.500951112,0.547982698,0.714198978,0.907189451,0.891003364,1.192831209,1.861737826,1.86534635,1.843386806,2.466778681,2.365716153,2.393463594,2.065793636,1.886286891,1.616013942,1.992485097,2.097996711,2.215873679,2.133856767,1.983013812
Food production index (2014-2016 = 100),,24.38,23.02,25.58,30.55,30.85,32.95,30.57,31.14,35.68,35.55,36.3,36.42,37.13,39.28,45.44,50.21,53.5,58.09,61.22,52.04,57.43,59.38,61.1,63.3,66.02,68.78,69.53,73.84,75.18,74.04,73.32,80.47,80.74,81.06,85.98,89.91,92.49,91.4,95.89,96.45,96.31,92.76,90.52,91.92,91.99,92.63,93.35,96.31,97.98,93.54,89.89,93.82,98.31,102.03,99.65,98.33,97.5,100.71,,
Permanent cropland (% of land area),,0.642753473,0.673854447,0.725689405,0.82935932,0.964130209,1.098901099,1.202571014,1.503213767,1.606883682,1.503213767,1.420277835,1.430644827,1.513580759,1.689819614,1.855691478,1.845324487,1.700186606,1.482479784,1.430644827,1.409910844,1.420277835,1.358075886,1.399543852,1.409910844,1.399543852,1.420277835,1.409910844,1.461745801,1.544681733,1.617250674,1.700186606,1.783122538,1.86605847,1.948994402,2.094132283,2.0733983,2.094132283,2.094132283,2.0733983,2.0733983,2.067397147,1.952681062,1.931818182,1.89010535,1.868869386,1.868290669,1.908790755,2.000206207,2.070883989,2.139917695,2.160716123,2.135443428,2.208855952,2.206712512,2.201241726,2.287437557,2.297200287,2.276456112,,
High-technology exports (% of manufactured exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.22493156,30.33172987,32.0634843,32.07439782,28.17905287,28.21746691,29.81578017,30.05823439,31.21077713,30.52376758,32.54563426,36.39070572,32.40443494,35.70851848
Merchandise exports (current US$),32000000,41000000,56000000,87000000,118000000,173000000,251000000,321000000,457000000,624000000,836000000,1067000000,1625000000,3221000000,4462000000,4945000000,7716000000,10048000000,12722000000,15057000000,17512000000,21268000000,21853000000,24446000000,29245000000,30282000000,34715000000,47281000000,60696000000,62377000000,65016000000,71870000000,76632000000,82236000000,96013000000,1.25058E+11,1.29715E+11,1.36164E+11,1.32313E+11,1.43685E+11,1.72268E+11,1.50439E+11,1.62471E+11,1.93817E+11,2.53845E+11,2.84419E+11,3.25465E+11,3.71489E+11,4.22007E+11,3.63534E+11,4.66384E+11,5.55214E+11,5.4787E+11,5.59632E+11,5.73091E+11,5.26757E+11,4.95426E+11,5.73694E+11,6.0486E+11,5.42233E+11,5.12498E+11
"Computer, communications and other services (% of commercial service imports)",,,,,,,,,,,,,,,,,32.77236492,44.46721311,50.78904992,34.69267139,33.51343824,40.83552783,39.38279334,42.54457681,41.78853503,34.62893478,34.01117035,36.1825762,34.11770584,31.72340068,32.55327584,31.38210157,32.20021373,31.53226463,33.94530094,34.63675937,37.3307643,38.34761014,44.76874347,42.89667483,42.67637025,39.85535041,36.90975332,38.33900745,37.58565066,36.85823781,36.38170687,35.5655716,39.09296732,48.14223105,45.9281643,47.49905646,48.68816871,49.47386648,49.5026242,48.26768533,47.01755305,47.85027386,48.04675887,49.79094136,59.56896823
Manufactures imports (% of merchandise imports),,,53.29463667,50.58980599,49.74057303,51.5777599,58.48196002,61.41340156,63.25575462,57.33911711,54.76422839,54.16952271,57.21507071,55.60779954,51.72540822,50.6714001,52.73468149,52.36815191,58.52622184,55.15077941,43.09281674,43.26058208,45.88712051,50.87187419,55.31848941,57.18650621,62.97555018,63.8103908,65.06590384,64.46818903,63.4737611,64.99389296,63.27368352,62.82819744,66.66280567,66.65996827,64.48353416,61.0797847,58.91525701,62.65413959,61.35310018,60.10627529,63.17175565,63.14510259,62.17565468,60.65544407,57.50982412,57.87150766,53.38401013,57.65770854,56.47384948,51.08750351,49.60499809,51.03598633,52.51147782,61.71728372,65.07732039,62.47954406,58.63389715,60.32351121,66.2143619
"Tariff rate, applied, weighted mean, all products (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.95,10.61,9.54,,8.53,,,6.84,15.02,13.45,13.61,5.9,9.55,10.41,9.98,9.7,9.25,7.95,7.43,7.13,8.26,7.8,7.19,7.32,7.59,7.85,6.1,5.72,8.67,5.05,4.83,,5.48
Merchandise trade (% of GDP),9.499289522,14.76696556,16.98457361,16.22047991,15.09133136,20.37917223,24.61243446,27.12160594,31.37621832,31.88088907,31.31585497,34.94724113,38.17782014,53.76703852,57.88960886,56.09086081,55.14592891,54.25463105,53.28627482,52.87175293,60.8636447,64.98947242,58.83699211,57.70030964,61.4048355,60.6321006,56.74581836,59.68370305,56.36882386,50.15322471,47.59190372,46.39216139,44.55576425,42.28427134,42.78549511,45.92033361,45.89773398,49.28087069,58.85123838,52.95081339,57.75106548,53.23338231,50.15527547,53.0290037,60.30295903,58.36521283,60.27704208,62.11208004,81.85334372,72.73954226,77.93215144,86.14803283,83.49749108,78.43739167,74.01748395,65.71657676,60.10346179,64.79284624,66.09646624,63.3136418,59.84086401
Rural population growth (annual %),,1.825043996,1.549514595,1.434647376,1.219055743,1.105346619,1.031134716,-0.131658531,-0.605364119,-0.807596355,-1.048227033,-0.689579444,-0.63362166,-0.820515792,-0.961757674,-1.077502182,-1.701601564,-1.997838869,-2.168869023,-2.292445149,-2.380936812,-2.415669312,-2.512391946,-2.697847734,-3.054293822,-3.401917395,-4.274964611,-4.835090769,-5.004772483,-5.135024577,-5.297482686,-3.418556321,-2.407777812,-2.455655264,-2.510315913,-2.546491794,-1.010212956,-0.207626181,-0.422371938,-0.441830114,-0.320068608,-0.81047541,-1.227887139,-1.289708049,-1.42920248,-1.609951419,-0.460618473,-0.053928914,0.20249655,-0.045273942,-0.059335872,0.840909322,0.923215784,0.851157798,1.022511668,0.925555908,0.788121027,0.600446738,0.712926786,0.354634107,0.224265615
"Age dependency ratio, young (% of working-age population)",80.97967246,82.49806331,82.93150783,82.62515535,82.12469865,81.67774711,80.75146585,80.06789584,79.35867317,78.23531181,76.56909582,74.74304395,72.64298958,70.36215747,68.02113759,65.66349544,63.51616454,61.1297494,58.7146023,56.51142418,54.60756772,52.49367032,50.8259584,49.36773271,47.77096656,45.8898601,44.33498179,42.29968417,40.08373453,38.14263965,36.69095734,35.10815839,34.25006046,33.79661702,33.26445066,32.43855523,32.09434505,31.23098629,30.12561097,29.18156804,28.55246792,27.78747347,27.3294963,27.02655879,26.63113227,26.0371729,25.30169805,24.51067368,23.65821758,22.80206015,21.9951969,21.3090152,20.6101363,19.93381479,19.32009133,18.78669936,18.44883814,18.1364375,17.867592,17.65597314,17.50168698
"Population ages 65-69, male (% of male population)",1.329770756,1.323560514,1.33354671,1.346569418,1.345692063,1.325830042,1.292373157,1.241342876,1.194185788,1.177133344,1.199674685,1.24751941,1.318703655,1.39267155,1.446348847,1.472349499,1.47478294,1.463627251,1.447926699,1.437468957,1.437154445,1.442929982,1.449888064,1.462554346,1.487789762,1.528597451,1.578374127,1.646571269,1.718776585,1.773644524,1.801786434,1.811141362,1.796334758,1.778999489,1.78731613,1.834560635,1.895594776,1.985697923,2.099924521,2.231659785,2.376535904,2.535423234,2.712376749,2.888103072,3.035824542,3.141827792,3.205549256,3.230434093,3.245081638,3.288923866,3.382806387,3.513183775,3.66083959,3.792894662,3.895970793,3.98914648,4.130484476,4.288225104,4.476240268,4.716322065,5.017799135
"Population ages 25-29, male (% of male population)",6.961556952,7.084570899,7.260082949,7.448175578,7.582425935,7.622240915,7.600458901,7.461948493,7.26338014,7.100524451,7.032317086,7.081631354,7.216424955,7.392413479,7.551781821,7.67151762,7.787700164,7.872251296,7.957477674,8.09981467,8.331309892,8.696797534,9.150137902,9.631677906,10.04536773,10.32655088,10.45398925,10.4710803,10.40468653,10.30568416,10.21258662,10.15720524,10.07880464,9.995266091,9.928919455,9.886372965,9.826331001,9.826188348,9.842422416,9.80492841,9.675204488,9.483227229,9.192928222,8.85999746,8.566183116,8.351500872,8.178415598,8.080193183,8.011779765,7.89859086,7.701473839,7.507769323,7.25242168,6.99991604,6.839091481,6.80599767,6.805932518,6.921056813,7.095090627,7.237077183,7.289291835
Population ages 0-14 (% of total population),43.23884607,43.67099932,43.77999906,43.67605263,43.52409458,43.39824481,43.12110864,42.92453637,42.72258175,42.38835893,41.87364137,41.27563719,40.57465766,39.79733963,38.9821253,38.1423791,37.35038164,36.45036452,35.51543639,34.64009993,33.86574434,32.97802625,32.26231679,31.62393868,30.90916847,30.04549362,29.30065162,28.30859155,27.20093364,26.20336805,25.43761223,24.58163116,24.09953353,23.83003344,23.51315224,23.02906648,22.79937266,22.27926654,21.61485981,21.02963831,20.61464218,20.11166719,19.77912417,19.53389718,19.23676029,18.82733877,18.3303812,17.80158422,17.23372253,16.65698464,16.10160176,15.61584616,15.11818697,14.63229732,14.183584,13.78171927,13.4979313,13.22549928,12.97332358,12.74644361,12.5428091
"Life expectancy at birth, male (years)",51.517,52.154,52.685,53.175,53.678,54.24,54.882,55.58,56.309,57.056,58.7,59.1,59.4,59.7,60,60.3,60.6,60.9,61.1,61.4,61.9,62.4,62.9,63.4,64,64.6,65.3,65.9,66.5,67,67.5,67.9,68.4,68.9,69.3,69.7,70.2,70.7,71.2,71.8,72.3,72.9,73.4,73.8,74.3,74.9,75.4,75.9,76.2,76.7,76.8,77.3,77.6,78.1,78.6,79,79.3,79.7,79.7,80.3,
Prevalence of moderate or severe food insecurity in the population (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,5,5.4,5.2,5.1,
"Share of youth not in education, employment or training, total (% of youth population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68900013,6.441999912,6.922999859,5.863999844,5.188000202,4.696000099,6.446000099,12.48200035,11.47099972,8.352999687,8.138999939,6.967000008,8.527000427,9.039999962,8.347999573,8.05300045,6.28399992,7.202000141,8.086999893,7.571000099,7.118999958,7.413000107,7.927000046,7.962999821,9.911000252,10.04800034,9.522000313,9.920999527,9.55300045,9.633000374
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.72100067,46.86800003,46.85300064,46.81399918,47.58100128,48.15599823,48.65499878,49.54999924,46.8429985,47.40299988,49.18299866,49.81000137,50.23099899,49.31900024,50.54999924,50.63000107,50.87200165,50.78900146,50.5019989,49.6780014,49.89500046,50.08100128,50.29899979,50.62099838,51.8030014,52.29600143,52.51599884,53.02899933,53.13700104,53.73699951,53.0719986
"Labor force participation rate for ages 15-24, female (%) (national estimate)",27.93000031,,,,,,33.33000183,,,,41.91999817,,,,,51.24000168,,,,,43.88999939,41.31999969,41.90999985,41.25999832,37.90000153,37.97999954,38.88999939,39.74000168,39.04000092,39.63999939,40.74000168,42.45999908,42.31000137,42.11999893,41.81999969,41.86000061,40.59000015,39.75,36.11999893,35.84999847,35.29000092,37.00999832,37.58000183,37.63999939,38.11999893,36.75999832,33.77000046,30.47999954,28.78000069,27.26000023,27.86000061,27.82999992,28.70999908,28.60000038,30.12000084,31.88999939,32.02000046,31.57999992,31.61000061,30.70999908,29.32999992
Employment in services (% of total employment) (modeled ILO estimate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.56999969,50.22000122,52.5,53.81999969,54.79000092,56.22000122,57.79999924,60,61.13999939,61.25,62.56000137,63.34999847,63.58000183,64.44999695,65.37999725,66.19999695,66.91000366,67.55000305,68.5,68.37999725,68.77999878,69.29000092,65.66000366,69.41000366,69.37999725,69.86000061,69.80000305,69.80000305,70.27999878,
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.57999992,10.14000034,10.56000042,10.05000019,9.529999733,9.319999695,8.989999771,10.15999985,9.489999771,9.170000076,8.720000267,8.159999847,7.679999828,6.989999771,6.590000153,6.340000153,6.019999981,5.940000057,5.710000038,5.320000172,5.190000057,5.070000172,4.869999886,4.710000038,4.389999866,4.25,4.139999866,4.090000153,3.960000038,
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.93799973,45.85400009,45.75999832,46.66500092,47.34700012,47.88299942,48.40800095,44.1969986,44.99399948,47.59500122,48.31499863,48.97800064,47.82300186,48.99499893,49.06600189,49.49700165,49.57400131,49.29299927,48.34600067,48.48199844,48.76100159,49.01300049,49.37799835,50.27099991,50.47299957,50.65800095,51.18500137,51.1780014,51.81200027,50.95500183
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.03999996,12.27000046,11.72999954,10.94999981,10.27000046,9.779999733,9.409999847,10.51000023,10.06000042,9.470000267,9.020000458,8.409999847,7.900000095,7.630000114,7.340000153,7.070000172,6.710000038,6.639999866,6.650000095,6.409999847,6.110000134,6,6.650000095,5.550000191,5.139999866,4.909999847,5.039999962,5.179999828,5.369999886,
Multidimensional poverty intensity (average share of deprivations experienced by the poor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income share held by fourth 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,,23,,23.1,,23.2,,23.1,,23,,,,
External health expenditure (% of current health expenditure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of people pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prevalence of stunting, height for age (% of children under 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,2.5,,,,,,,,,,,
People practicing open defecation (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
People using at least basic sanitation services (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,99.99949022,99.99472125,99.98995228,99.98518331,99.98041434,99.97564537,99.9708764,99.96610742,99.96133845,99.95656948,99.95180051,99.94703154,99.94226257,99.9374936
Lifetime risk of maternal death (1 in: rate varies by country),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200,4700,5100,5100,5500,5400,6000,5500,5500,5300,5500,5800,6300,6700,7100,7400,8000,8300,,,
Young people (ages 15-24) newly infected with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortality rate, neonatal (per 1,000 live births)",28.5,28.3,28,27.8,27.4,26.9,26.4,25.8,25.1,24.3,23.5,22.8,22,21.3,20.7,20.1,19.6,19.1,18.5,17.9,17.2,16.1,14.9,13.8,12.7,11.6,10.5,9.6,8.7,7.9,7.3,6.7,6.1,5.7,5.2,4.8,4.5,4.1,3.9,3.6,3.4,3.2,3,2.8,2.6,2.4,2.2,2,1.9,1.8,1.8,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.5
"Cause of death, by injury (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.69292623,,,,,,,,,,12.72412266,,,,,10.32102059,,,,9.260797206,
Women who believe a husband is justified in beating his wife (any of five reasons) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure on secondary education (% of government expenditure on education),,,,,,,,,,,20.99144,22.47711,27.31936,24.00435,,37.12378,25.15678,32.64837,,32.04123,33.79612,18.5407,34.07454,32.75279,35.76489,37.84906,38.40989,39.32426,31.15383,30.09495,33.46811,38.81037,39.60014,39.74832,34.39048,36.64288,,,37.73606,37.27903,,,,,,,,,,,,,,,,,38.67885,,,,
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.54324007,,,,,4.445139885,,,,,
Trained teachers in upper secondary education (% of total teachers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"School enrollment, secondary, female (% gross)",,,,,,,,,,,,30.42723083,34.00888062,37.03966141,40.64530182,44.26475143,48.42472839,52.57955933,56.41923141,61.21207047,69.09619141,75.75512695,76.95427704,79.00515747,84.35011292,87.34335327,90.04470062,93.4925766,90.50087738,90.96497345,91.07193756,90.77407074,90.61026001,93.00212097,96.05290985,98.61850739,100.8279572,99.02883911,96.90223694,96.12468719,96.28025818,96.40773773,96.75675201,97.6781311,98.43670654,98.21295929,96.31867218,95.40699768,95.01820374,95.8035202,96.08892059,96.49443054,97.47408295,99.09625244,99.61257172,99.65579987,100.0658493,100.0012894,98.14108276,95.55177307,
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
